url,title,old_neighborhoods,new_neighborhoods,old_geographic_area,new_geographic_area,old_umbrella,new_umbrella,classification_changed,improvement_type
https://www.publicsource.org/trump-refugee-resettlement-policy-pittsburgh-immigration/,What Trump’s refugee entry pause means for Pittsburgh,,East Allegheny,Central Pittsburgh,North Side,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/as-the-trump-administration-changes-america-we-want-to-know-how-its-affecting-pittsburghers/,"As the Trump administration changes America, we want to know how it’s affecting Pittsburghers",,East Allegheny,Central Pittsburgh,North Side,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-queer-history-landmark-preservation-review-commission-lgbtq-activists/,Pittsburgh’s potential first queer history landmark poised for review process,,Polish Hill,Central Pittsburgh,"Upper East End, Central Pittsburgh, Hill District, South Pittsburgh",Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-international-students-college-university-donald-trump-executive-order-fears/,Trump’s return to office sparks fears for Pittsburgh’s international students,,Oakland,Central Pittsburgh,North Side,Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/inclusionary-zoning-pittsburgh-city-planning-commission-votes-council-mayor-gainey/,Inclusionary zoning plan prevails before commission after 11,,"Strip District, Polish Hill, Bloomfield",Unknown,"Central Pittsburgh, Upper East End",Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/federal-funding-grant-loan-pause-stop-trump-administration-pittsburgh-programs/,"Federal grants freeze memo rescinded after spurring anxiety in Pittsburgh, but funding fight may not be over",,Golden Triangle,Central Pittsburgh,Central Pittsburgh,Pittsburgh,Aspinwall,True,Added neighborhood classification
https://www.publicsource.org/pennsylvania-doctors-health-care-providers-pittsburgh-pennsylvania-shapir/,"Ghosted by your doc? New law aims to weaken restrictive noncompete contracts, keep physicians local",,Bloomfield,Unknown,Upper East End,Pittsburgh,Forward,True,Added neighborhood classification
https://www.publicsource.org/allegheny-county-property-taxes-assessment-lawsuit-countywide-revamp/,Homeowner sues Allegheny County over failure to reassess,,Golden Triangle,Allegheny County,Central Pittsburgh,Pittsburgh,Forward,True,Added neighborhood classification
https://www.publicsource.org/garfield-community-garden-pittsburgh-relationships-countering-cynicism-essay/,How mulch and community can counter our national cynicism,Garfield,"East Liberty, Garfield, Friendship",Unknown,Upper East End,Pittsburgh,Forward,True,Improved neighborhood accuracy
https://www.publicsource.org/ed-gainey-corey-oconnor-campaign-fundraising-pittsburgh-mayor-race-2025/,Gainey and O’Connor deadlocked in campaign fundraising for Pittsburgh mayor race,,"Hazelwood, Point Breeze",Central Pittsburgh,Lower East End,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-2050-comprehensive-plan-neighborhoods-input/,"Pittsburgh’s planners look to festivals, ‘mini grants’ to draw massive input for comprehensive plan",,Sheraden,Central Pittsburgh,West End,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-businesses-day-without-immigrants-protest-trump-deportation/,Pittsburgh businesses close for ‘day without immigrants’ to protest Trump deportation push,,Beechview,Central Pittsburgh,South Pittsburgh,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/developmental-disability-diagnoses-pittsburgh-allegheny-county-economy-job-one/,A developmental disability diagnosis can hit hard — but it isn’t a knockout,,"Spring Hill-City View, Brookline",Unknown,"North Side, South Pittsburgh",Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-publicsource-interns-2025-steel-city-east-midwest/,The eternal controversy — is Pittsburgh in the East or Midwest? — does not divide PublicSource interns,,Golden Triangle,Central Pittsburgh,Central Pittsburgh,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-protest-against-donald-trump-elon-musk-john-fetterman/,"The Glimpse: In Pittsburgh, national protest against Trump directs anger at Fetterman",,East Allegheny,Central Pittsburgh,North Side,Pittsburgh,Duquesne,True,Added neighborhood classification
https://www.publicsource.org/pennsylvania-pjm-josh-shapiro-settlement-electricity-prices-green-energy-projects-grid/,"Pennsylvania PJM settlement might slow price hikes, but green energy projects still wait to connect to the grid",,Golden Triangle,Unknown,Central Pittsburgh,Pittsburgh,Indiana,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-city-of-asylum-writer-refugee-venezuela-giving-back/,Pittsburgh embraced me as a literary exile. Now I’m giving back through ‘radical charity.’,,Friendship,Central Pittsburgh,Upper East End,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/downtown-pittsburgh-homeless-encampments-replaced-boulders/,"Replacing tents with boulders, Downtown boosters argue safety while advocates for homeless see exclusion",Downtown,Allegheny Center,Downtown,North Side,Pittsburgh,Wall,True,Improved neighborhood accuracy
https://www.publicsource.org/pittsburgh-air-quality-asthma-attacks-key-takeaways/,Just the Source: Asthma,,East Allegheny,Unknown,North Side,Pittsburgh,Ben Avon,True,Added neighborhood classification
https://www.publicsource.org/allegheny-county-asthma-attacks-er-visits-advocates-industry-air-health/,"ER visit data for asthma show dip, but advocacy groups still fight for resources and answers",,Brighton Heights,Unknown,North Side,Pittsburgh,Reserve,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-allegheny-pennsylvania-homeless-housing-program-500-innamorato-gainey/,"Is ‘500-in-500’ hitting its marks for housing people? Officials, observers weigh in at day 250.",,Golden Triangle,Unknown,Central Pittsburgh,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pennsylvania-nonprofit-reading-intervention-tutoring-dyslexia-proficiency/,"Active reading: A tutoring program uses movement, balls, sandboxes and more to bridge the literacy gap",,"Bedford Dwellings, Point Breeze",Unknown,"Hill District, Lower East End",Pittsburgh,Reserve,True,Added neighborhood classification
https://www.publicsource.org/medical-bill-invoice-errors-reimbursement-letters-ceos-pittsburgh/,"I write CEOs to get my inflated health care bills fixed and perhaps you should, too",,Squirrel Hill North,Unknown,Lower East End,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/allegheny-county-property-tax-reassessment-lawsuit-decision-dismiss-pittsburgh-schools-pps/,"Push for property tax reassessment likely to continue, per Pittsburgh schools’ top lawyer",,Golden Triangle,Central Pittsburgh,Central Pittsburgh,Pittsburgh,Reserve,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-work-labor-unions-nlrb-starbucks-post-gazette-strike-trump/,Pittsburgh unions prepare for life with gutted NLRB under Trump,,"Bloomfield, Larimer, North Shore",Central Pittsburgh,"Upper East End, North Side",Pittsburgh,Forward,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-allegheny-approach-to-work-changed-pandemic-callout/,"The pandemic, new tech and more have upended work. How has your approach to work in Pittsburgh changed over the past 5 years?",,East Allegheny,Central Pittsburgh,North Side,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-pennsylvania-labor-history-key-moments-nlrb-trump/,Know your Pittsburgh labor history? Here are 6 pivotal worker,,Golden Triangle,Central Pittsburgh,Central Pittsburgh,Pittsburgh,Mckees Rocks,True,Added neighborhood classification
https://www.publicsource.org/nonprofits-pittsburgh-uncertainty-trump-orders-federal-funding/,Can the ‘sleeping giant’ nonprofit sector find its voice?,,Perry South,Unknown,North Side,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/teacher-shortage-staffing-pittsburgh-emerging-educators-labor-work/,PPS Emerging Educators a ‘tiny boat’ laboring against a ‘huge tidal wave’ of teacher workforce shortages,,"Beechview, Banksville",Unknown,South Pittsburgh,Pittsburgh,Reserve,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-work-union-labor-workforce-healthcare-health-care-upmc-ahn-nurses/,Post-pandemic labor actions are reshaping hospital pay and staffing,,"Central Northside, Friendship, Bloomfield",Unknown,"North Side, Upper East End",Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/university-pittsburgh-internet-web-diversity-dei-removal-scrub-dear-colleague-letter-trump/,"Diversity-focused pages, language begin to disappear from Pitt, CMU websites",,East Allegheny,Unknown,North Side,Pittsburgh,Duquesne,True,Added neighborhood classification
https://www.publicsource.org/work-pittsburgh-labor-unions-diversity-dei-carpenters-construct-funeral-directors-jobs/,"In Pittsburgh, diversifying the trades isn’t billed as DEI. It’s a ‘business decision.’",,"East Liberty, Hazelwood",Central Pittsburgh,"Upper East End, Lower East End",Pittsburgh,Reserve,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-monvalley-settlement-funds-pollution-ussteel-clairton/,Funds start to flow to communities from $4.5 million Clairton Coke Works fire settlement,Clairton,East Allegheny,Unknown,North Side,Pittsburgh,Glassport,True,Improved neighborhood accuracy
https://www.publicsource.org/pittsburgh-green-energy-hub-workers-employment-labor-work/,Pittsburgh could be a green energy hub. But does it have the workers?,,Chateau,Central Pittsburgh,North Side,Pittsburgh,Findlay,True,Added neighborhood classification
https://www.publicsource.org/refugee-resettlement-donald-trump-pittsburgh-pennsylvania-hello-neighbor-syria/,"Ahmad’s family found refuge in Bellevue, just before the resettlement program fell into chaos",Bellevue,Golden Triangle,Unknown,Central Pittsburgh,Pittsburgh,Reserve,True,Improved neighborhood accuracy
https://www.publicsource.org/labor-government-pittsburgh-gainey-oconnor-trump-development-zoning-boards/,Regional unions make like a bricklayer’s mortar in Pittsburgh’s government power structure,,"Chateau, Strip District, Larimer, Manchester, Carrick",Central Pittsburgh,"North Side, Central Pittsburgh, Upper East End, South Pittsburgh",Pittsburgh,Reserve,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-public-schools-facilities-plans-feasibility-report-closures/,Superintendent’s report endorses closures and consolidations for PPS schools,,"Brookline, Friendship, Greenfield, Manchester, Arlington",Unknown,"South Pittsburgh, Upper East End, Lower East End, North Side",Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/ai-labor-union-contracts-pittsburgh-work/,"How AI is infiltrating labor union contracts, in Pittsburgh and beyond",,Larimer,Central Pittsburgh,Upper East End,Pittsburgh,Reserve,True,Added neighborhood classification
https://www.publicsource.org/research-funding-grant-nih-health-university-pittsburgh-pitt-trump/,"From psychosis to sleep to drug resistance, these Pittsburgh research efforts are threatened by Trump spending cuts, orders",,South Oakland,Central Pittsburgh,Lower East End,Pittsburgh,Reserve,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-work-remote-hybrid-pandemic-covid-employment-audience-response-trump/,"Trump and Musk oppose remote work, but it has fans in Pittsburgh",,"East Liberty, Morningside",Central Pittsburgh,Upper East End,Pittsburgh,Monroeville,True,Added neighborhood classification
https://www.publicsource.org/allegheny-county-child-care-children-department-pittsburgh-tuition-staff-innamorato/,Child care funding boost won’t solve problem long,,"Point Breeze North, Carrick, Point Breeze",Unknown,"Lower East End, South Pittsburgh",Pittsburgh,Monroeville,True,Added neighborhood classification
https://www.publicsource.org/the-glimpse-pittsburghers-rally-for-ukraine-amid-trumps-criticism-of-zelenskyy/,The Glimpse: Pittsburghers rally for Ukraine amid Trump’s criticism of Zelenskyy,,East Allegheny,Central Pittsburgh,North Side,Pittsburgh,Forward,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-democrat-republican/,Pittsburgh’s mayoral primary options: Ed Gainey,,Perry North,Central Pittsburgh,North Side,Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-thomas-west/,Pittsburgh’s mayoral primary options: Thomas West,,"Highland Park, East Liberty",Central Pittsburgh,Upper East End,Pittsburgh,Liberty,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-tony-moreno/,Pittsburgh’s mayoral primary options: Tony Moreno,,Brighton Heights,Central Pittsburgh,North Side,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-corey-oconnor/,Pittsburgh’s mayoral primary options: Corey O’Connor,,Point Breeze,Central Pittsburgh,Lower East End,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-ed-gainey/,Pittsburgh’s mayoral primary options: Ed Gainey,,Golden Triangle,Central Pittsburgh,Central Pittsburgh,Pittsburgh,Lincoln,True,Added neighborhood classification
https://www.publicsource.org/reuben-brock-essay-autism-psychologist-professor-penn-west/,It took a decade to get through college. Now I’m a professor. Could an autism diagnosis have saved years of confusion?,,East Allegheny,Unknown,North Side,Pittsburgh,Forward,True,Added neighborhood classification
https://www.publicsource.org/bukit-bail-fund-allegheny-county-jail-frank-smart-corrections-pittsburgh/,"10 years after ‘Bukit’ died, his legacy is getting others out of jail",,Golden Triangle,Unknown,Central Pittsburgh,Pittsburgh,Forward,True,Added neighborhood classification
https://www.publicsource.org/design-pittsburgh-future-architects-trust/,"The design of Pittsburgh’s future will be about trust, say two local architects",,"Bloomfield, Larimer, East Liberty, Shadyside, Morningside",Central Pittsburgh,"Upper East End, Lower East End",Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/publicsource-internships-100-journalists-pittsburgh/,Public Source internships have prepared over 100 aspiring journalists and supporters of public,,Golden Triangle,Unknown,Central Pittsburgh,Pittsburgh,Forward,True,Added neighborhood classification
https://www.publicsource.org/high-school-transition-disability-iep-down-syndrome-employment-pennsylvania-job-one/,"For teens with disabilities, transition to adulthood varies widely by school",,Golden Triangle,Unknown,Central Pittsburgh,Pittsburgh,Ingram,True,Added neighborhood classification
https://www.publicsource.org/timeline-astrobotics-cmu-nasa-moon-lunar-mission-griffin/,Timeline: Astrobotic’s rise from CMU spinout to trusted NASA moon partner,,Chateau,Unknown,North Side,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-allegheny-county-election-2025-gainey-oconnor-candidate-list/,"Who’s running in Pittsburgh, Allegheny County elections in 2025?",,East Allegheny,Allegheny County,North Side,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-mayor-gainey-upmc-negotiation-deal-nonprofit-contributions-allegheny-county/,Gainey says he nearly struck $125 million deal with UPMC in 2024,,East Allegheny,Unknown,North Side,Pittsburgh,Wall,True,Added neighborhood classification
https://www.publicsource.org/climate-resilient-urban-planning-pittsburgh-duluth/,The Pittsburgh region I grew up in will be transformed by climate migration,,"East Liberty, Strip District, Mount Washington",Central Pittsburgh,"Upper East End, Central Pittsburgh, South Pittsburgh",Pittsburgh,Millvale,True,Added neighborhood classification
https://www.publicsource.org/trump-administration-higher-education-funding-orders-university-pittsburgh-pitt-cmu-timeline/,"Timeline: CMU lays off employees, the latest Pittsburgh higher ed response to Trump moves",,Perry North,Central Pittsburgh,North Side,Pittsburgh,Mccandless,True,Added neighborhood classification
https://www.publicsource.org/opioid-orphans-grandparents-struggle-to-raise-children-left-behind/,Opioid orphans: Grandparents struggle to raise children left behind,,Friendship,Unknown,Upper East End,Pittsburgh,Lincoln,True,Added neighborhood classification
https://www.publicsource.org/prt-pittsburgh-regional-transit-bus-service-cuts-fare-hikes-budget/,,,"Troy Hill, Spring Garden, East Allegheny, Marshall-Shadeland, Brighton Heights, Bellevue, Avalon, Ben Avon, Manchester, Allegheny West, , Emsworth, Sheraden, Kennedy Township, McKees Rocks, Elliott, Crafton, Ingram, Westwood, Robinson Township, Carnegie, Banksville, Dormont, Mt. Lebanon, Green Tree, Brookline, Beechview, Mount Washington, Duquesne Heights, Scott Township, Bridgeville, , Allentown, Carrick, Overbrook, West Mifflin, Munhall, West Homestead, Homestead, Greenfield, Squirrel Hill South, Squirrel Hill, Shaler, Etna",Unknown,South Pittsburgh,Pittsburgh,"Pittsburgh, Allegheny County, Beaver County, Westmoreland County",True,Added neighborhood classification
https://www.publicsource.org/conservatorship-case-north-side-east-hills-pittsburgh-rising-tide-partners-superior-court/,,,"East Hills, Central Northside, Mexican War Streets",Unknown,"Upper East End, North Side",Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-neighborhoods-youtube-videos-portland-oregon/,,,"Dormont, Manchester, Sharpsburg",Unknown,"Central Pittsburgh, North Side",Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/prt-pittsburgh-regional-transit-bus-route-cuts-funding-state-budget/,,,"Troy Hill, Spring Garden, East Allegheny, Marshall-Shadeland, Brighton Heights, Bellevue, Avalon, Ben Avon, Manchester, Allegheny West, , Emsworth, Sheraden, Kennedy Township, McKees Rocks, Elliott, Crafton, Ingram, Westwood, Robinson Township, Carnegie, Banksville, Dormont, Mt. Lebanon, Green Tree, Brookline, Beechview, Mount Washington, Duquesne Heights, Scott Township, Bridgeville, , Allentown, Carrick, Overbrook, West Mifflin, Munhall, West Homestead, Homestead, Greenfield, Squirrel Hill South, Squirrel Hill, Shaler, Etna",Unknown,"North Side, South Pittsburgh, Lower East End",Pittsburgh,"Pittsburgh, Allegheny County, Beaver County, Westmoreland County",True,Added neighborhood classification
https://www.publicsource.org/summer-lee-pittsburgh-town-hall-meeting-democrats-donald-trump-elon-musk/,,,Swissvale,Unknown,Central Pittsburgh,Pittsburgh,"Pittsburgh, Allegheny County, Beaver County, Westmoreland County",True,Added neighborhood classification
