Story,Umbrella,GeographicArea,Neighborhoods,SocialAbstract,Title,Author,Date
https://www.publicsource.org/pittsburgh-summer-temperatures-humidity-trend-higher-2025/,MOON,"Lower East End, West Suburbs, Southeast Pittsburgh","Squirrel Hill North, Lincoln Place",,Is this really the muggiest summer in Pittsburgh history? Here’s the data.,Ayla Saeed,2025-08-04T05:30:00-04:00
https://www.publicsource.org/public-source-interns-share-perspectives-journalism-careers-2025/,CARNEGIE,"Lower East End, West Suburbs, Mon Valley, Ohio River Valley",Central Oakland,,"Public Source interns mull the future of journalism, and their role in it",More by Jamie Wiggan,2025-08-02T05:30:00-04:00
https://www.publicsource.org/carnegie-main-street-small-business-recovery-amid-economic-uncertainty/,CARNEGIE,"South Pittsburgh, West Suburbs, North Side, Mon Valley, North Hills, Ohio River Valley","Mount Washington, Perry South",,County government and local municipalities look to ease economic hardship that threatens the fabric of Main Street America,More by Eric Jankiewicz,2025-08-05T05:30:00-04:00
https://www.publicsource.org/beaver-county-law-enforcement-conduct-joint-ice-immigration-arrests-pennsylvania/,VERONA,"East Suburbs, South Pittsburgh",Beechview,,ICE and allies hit Ambridge with ‘most intense’ roundup yet seen in Pittsburgh region,More by Quinn Glabicki,2025-08-01T15:28:08-04:00
https://www.publicsource.org/behind-pittsburgh-public-source-mission-to-deepen-journalism-empathy/,WILKINSBURG,East Suburbs,,,Redefining our mission to deepen journalism and empathy for the Pittsburgh region,More by Halle Stockton,2025-08-06T05:30:00-04:00
https://www.publicsource.org/allegheny-county-involuntary-mental-health-treatments-302-aot-explained/,"Pittsburgh, Allegheny County",,Central Business District,,Court-ordered mental health options — 302 and AOT — explained,More by Venuri Siriwardane,2025-08-15T05:30:00-04:00
https://www.publicsource.org/housing-advocates-hosts-split-on-bill-to-regulate-short-term-rental-in-pittsburgh/,"Pittsburgh, Allegheny County","North Side, Upper East End","East Allegheny, Allegheny Center, East Liberty, Fineview",,"Housing advocates, hosts split on bill to regulate short",Femi Horrall,2025-08-11T05:30:00-04:00
https://www.publicsource.org/eqt-fracking-westvirginia-health-pollution-energy-pittsburgh-lawsuit/,"Pittsburgh, Allegheny County",South Pittsburgh,"Beechview, Bon Air",,"Children sue EQT over illness, distress they say are linked to company’s WV operations",Quinn Glabicki,2025-08-07T05:30:00-04:00
https://www.publicsource.org/after-violent-police-encounter-leon-ford-advocates-law-enforcement-careers/,DUQUESNE,"Mon Valley, Hill District, West Suburbs",Bedford Dwellings,,"Paralyzed by police, I raged — but now I urge others to wear the badge",First-person essay by Leon Ford,2025-08-08T05:30:00-04:00
https://www.publicsource.org/federal-immigration-enforcement-agents-ice-arrest-workers-emilianos-gibsonia-cranberry/,"Pittsburgh, Allegheny County",,,,"ICE returns to Emiliano’s restaurants, detains 16 workers after aborted June sting",More by Quinn Glabicki,2025-08-07T17:07:31-04:00
https://www.publicsource.org/allegheny-county-clears-homeless-encampments-second-avenue-commons-advocates-react/,BRIDGEVILLE,"West Suburbs, South Pittsburgh, Ohio River Valley",South Side Flats,,"Activists pitch tents outside Downtown shelter, saying repeated encampment closures thwart their outreach",More by Stephanie Strasburg,2025-08-08T16:41:20-04:00
https://www.publicsource.org/us-steel-clairton-works-explosion-workers-trapped-under-rubble/,CLAIRTON,"Mon Valley, Northwest Suburbs, North Side",Allegheny West,,"Explosion at U.S. Steel’s Clairton Works leaves two dead, 10 hurt",More by Charlie Wolfson,2025-08-11T12:35:31-04:00
https://www.publicsource.org/allegheny-county-jail-population-grew-since-2022/,DUQUESNE,Mon Valley,,,Why is Allegheny County Jail getting more crowded?,More by Charlie Wolfson,2025-08-14T05:30:00-04:00
https://www.publicsource.org/allegheny-county-officials-clear-air-quality-risks-after-clairton-explosion/,CLAIRTON,"Mon Valley, Upper East End, Ohio River Valley",Homewood North,,"In Clairton, officials say the air is normal, but residents, advocates are wary",More by Eric Jankiewicz,2025-08-12T17:14:52-04:00
https://www.publicsource.org/pittsburgh-water-utility-proposes-rate-increase-2026/,"Pittsburgh, Allegheny County","South Pittsburgh, North Side, Lower East End, Upper East End","South Side Flats, Manchester, Hazelwood, Highland Park, Stanton Heights",,Residents fear monthly bills as Pittsburgh Water seeks 33% rate hike,Hannah Frances Johansson,2025-08-13T14:41:36-04:00
https://www.publicsource.org/winnies-wagon-brings-classroom-to-housing-insecure-students-allegheny-county/,WEST MIFFLIN,"Mon Valley, Upper East End, North Hills",Highland Park,,Winnie’s Wagon delivers kids’ science experiments to shelters and sidewalks,More by Lajja Mistry,2025-08-18T05:30:00-04:00
https://www.publicsource.org/pittsburgh-trans-teen-gender-care-disruption-upmc-policy-federal-impacts/,PLEASANT HILLS,"Lower East End, South Hills, East Suburbs, South Pittsburgh","Central Oakland, Mount Washington",,‘There’s a specific target on my head’: Transgender teen grapples with UPMC care cuts,Caleb Kaufman,2025-08-19T05:30:00-04:00
https://www.publicsource.org/fatal-explosion-us-steel-clairton-plant-works-nippon-future/,CLAIRTON,"Mon Valley, West End, South Pittsburgh","Windgap, Mount Washington",,"Fatal explosion at U.S. Steel’s Clairton plant raises questions about its future, despite heavy investment","Marc Levy, Associated Press",2025-08-18T09:20:47-04:00
https://www.publicsource.org/pennsylvania-government-expand-artificial-intelligence-ai/,CARNEGIE,"South Pittsburgh, West Suburbs",Bon Air,,Pennsylvania government agencies aim to expand employees’ use of artificial intelligence,Abigail Hakas,2025-08-20T05:30:00-04:00
https://www.publicsource.org/wilkinsburgh-community-gardens-reclaim-vacant-lots-native-pollinators/,WILKINSBURG,"East Suburbs, Mon Valley",,,"Wilkinsburg lots bloom with native species, vegetables — and community spirit",Tessa Williams,2025-08-22T05:30:00-04:00
https://www.publicsource.org/racial-disparities-involuntary-mental-health-care/,DUQUESNE,"Mon Valley, Lower East End, Ohio River Valley, Upper East End, West End","Shadyside, Homewood North, Chartiers City, Central Business District",,Involuntary ‘302’ hospitalizations fall more heavily on Black patients. Would AOT be different?,More by Venuri Siriwardane,2025-08-21T05:30:00-04:00
https://www.publicsource.org/pennsylvania-pittsburgh-schools-health-environmental-hazards-lead-radon-report/,INDIANA,"North Hills, Central Pittsburgh, South Pittsburgh","Central Lawrenceville, Mount Washington",,Schools in Pennsylvania and Pittsburgh area slow to fix environmental hazards,More by Lajja Mistry,2025-08-20T12:56:42-04:00
https://www.publicsource.org/pittsburgh-history-pitt-unrealized-reasearch-park-panther-hollow-oakland/,CARNEGIE,"Lower East End, West Suburbs, North Side","Central Oakland, California-Kirkbride",,Panther Hollow was once envisioned as a roofed ‘Valley of Tomorrow’,Essay by Christopher Briem,2025-08-25T05:30:00-04:00
https://www.publicsource.org/extreme-weather-climate-change-pittsburgh-wilkinsburg-penn-hills/,NORTH VERSAILLES,"Mon Valley, West Suburbs, East Suburbs, North Side",East Allegheny,,"As extreme weather worsens in Pittsburgh area, ‘Superman isn’t showing up’",Femi Horrall,2025-08-26T05:30:00-04:00
https://www.publicsource.org/federal-court-orders-pennsylvania-stop-discarding-mailed-ballots-over-dates/,"Pittsburgh, Allegheny County",,,,Court orders Pennsylvania to stop throwing out mail ballots over the handwritten date,"Marc Levy, Associated Press",2025-08-27T05:30:00-04:00
https://www.publicsource.org/pittsburgh-schools-somali-bantu-refugee-advocate/,CARNEGIE,"North Side, Upper East End, Central Pittsburgh, Hill District, West Suburbs, North Hills","Perry South, Bloomfield, Northview Heights, Central Lawrenceville, Bedford Dwellings, Homewood North, Allegheny Center, Spring Hill-City View, Troy Hill",,PPS graduate and Somali Bantu leader sees echoes of Schenley closure in latest school changes,More by Lajja Mistry,2025-08-28T05:30:00-04:00
https://www.publicsource.org/clairton-coke-explosion-deadly-jobs-pennsylvania/,CLAIRTON,"Mon Valley, Central Pittsburgh, Hill District, North Side, East Suburbs, North Hills","Central Lawrenceville, Upper Hill, Central Northside",,"Fatal explosions are big news, but construction, transportation jobs are now bigger killers",Aakanksha Agarwal,2025-08-29T05:30:00-04:00
https://www.publicsource.org/jpitt-palestine-club-can-resume-activities-judge-rules/,CARNEGIE,"Lower East End, West Suburbs","Central Oakland, Central Business District",,"Pitt Palestine club can resume activities, judge rules",More by Maddy Franklin,2025-08-28T16:08:30-04:00
https://www.publicsource.org/ai-data-centers-pennsylvania-jobs/,OHIO,"South Pittsburgh, Northwest Suburbs, North Hills",Bon Air,,AI data center growth raises Pittsburgh,More by Eric Jankiewicz,2025-09-02T05:30:00-04:00
https://www.publicsource.org/hazing-fraternities-university-pittsburgh-pitt-cmu-duquesne-robert-morris/,CARNEGIE,"Lower East End, West Suburbs",Central Oakland,,"Hazing accusations at Pitt, other schools range from Skittles to forced fights",Ayla Saeed,2025-09-04T05:30:00-04:00
https://www.publicsource.org/pittsburgh-aclu-jfcs-respond-deportation-guatemalan-children/,EMSWORTH,"Northwest Suburbs, South Pittsburgh, Ohio River Valley",Mount Washington,,Pittsburgh lawyers and advocates scramble to protect local Guatemalan children amid U.S. deportation push,More by Jamie Wiggan,2025-08-31T19:08:48-04:00
https://www.publicsource.org/next-us-attorney-western-district-pennsylvania-pittsburgh/,"Pittsburgh, Allegheny County",,,,When could we see the next U.S. attorney appointment in Western Pennsylvania?,More by Erin Yudt,2025-09-03T05:30:00-04:00
https://www.publicsource.org/pittsburgh-steelers-fandom-room-for-the-arts/,CORAOPOLIS,"Ohio River Valley, Mon Valley, South Pittsburgh",Mount Washington,,"I’ve been a Steelers fan since age 10, but wish more Pittsburgh kids loved the arts",First-person essay by Kate Oczypok,2025-09-05T05:30:00-04:00
https://www.publicsource.org/alcoa-australia-jarrah-forest-mining-expansion/,MCKEES ROCKS,"South Pittsburgh, Ohio River Valley",Bon Air,,Alcoa’s Australian mining plan draws unprecedented opposition,More by Jamie Wiggan,2025-09-03T10:55:30-04:00
https://www.publicsource.org/pitt-student-enrollment-oakland-housing-challenges/,HAMPTON,"Lower East End, North Hills","Central Oakland, North Oakland",,"New Pitt students housed in hotels or apartments ‘disconnected,’ but making the best of it",Femi Horrall,2025-09-08T05:30:00-04:00
https://www.publicsource.org/academic-freedom-call-for-perspectives/,"Pittsburgh, Allegheny County",,,,Do you have thoughts on academic freedom?,Public Source,2025-09-09T05:30:00-04:00
https://www.publicsource.org/guatemalan-children-deportation-trump-lawsuits/,"Pittsburgh, Allegheny County","West End, South Pittsburgh","Windgap, Mount Washington",,Chaotic showdown over Guatemalan children exposes fault lines in Trump’s deportation push,Rebecca Santana,2025-09-05T10:40:21-04:00
https://www.publicsource.org/pennsylvania-michigan-late-state-budgets/,CARNEGIE,"West Suburbs, North Side","Marshall-Shadeland, California-Kirkbride",,Every state in the nation has some form of a budget in place — except Pennsylvania and Michigan,Emily Previti,2025-09-08T09:13:57-04:00
https://www.publicsource.org/historic-pittsburgh-university-academic-freedom-struggles/,CARNEGIE,"South Pittsburgh, West Suburbs, Lower East End","Bon Air, Central Oakland",,6 flashpoints in the history of academic freedom in Pittsburgh,More by Maddy Franklin,2025-09-09T05:30:00-04:00
https://www.publicsource.org/pittsburgh-garbage-olympics-artist-finds-treasure-in-trash/,BETHEL PARK,"South Pittsburgh, South Hills","South Side Slopes, Arlington",,"They said ‘be a secretary,’ but instead I’m the official artist of the Garbage Olympics",First-person essay by Maria DeSimone Prascak,2025-09-12T05:30:00-04:00
https://www.publicsource.org/philadelphia-pittsburgh-prt-septa-transit-cuts-capital-funds/,"Pittsburgh, Allegheny County",West End,Windgap,,Philadelphia transit agency will use project reserves to avoid cuts. Pittsburgh’s might do the same.,"Marc Levy, Associated Press",2025-09-08T16:18:58-04:00
https://www.publicsource.org/pennsylvania-plastics-pollution-settlement-could-set-a-national-precedent-for-control-of-pellets/,"Pittsburgh, Allegheny County",,,,Pennsylvania plastics pollution settlement could set a national precedent for control of pellets,"Jon Hurdle, Inside Climate News",2025-09-09T14:02:32-04:00
https://www.publicsource.org/pharmacies-pennsylvania-pa-covid-shots-vaccine/,"Pittsburgh, Allegheny County",,,,Pharmacies in Pa. can now give COVID shots. That doesn’t mean widespread access will follow.,Ed Mahon,2025-09-10T05:30:00-04:00
https://www.publicsource.org/allegheny-county-snap-benefits-new-federal-rules/,"Pittsburgh, Allegheny County",Lower East End,Central Oakland,,How to keep your SNAP benefits under new federal rules,More by Charlie Wolfson,2025-09-10T13:57:09-04:00
https://www.publicsource.org/pittsburgh-debates-gainey-inclusionary-zoning-proposal/,ELIZABETH,"South Pittsburgh, Upper East End, Mon Valley, Lower East End, Central Pittsburgh, West End, North Side","Knoxville, Bloomfield, Hazelwood, Central Lawrenceville, Central Oakland, Sheraden, Manchester",,"Gainey inclusionary zoning plan gets hearing, with vote possible this month",Brian Nuckols,2025-09-10T19:05:39-04:00
https://www.publicsource.org/pittsburgh-ai-summit-key-takeaways/,CARNEGIE,"Upper East End, South Pittsburgh, West Suburbs, West End","Larimer, Bon Air, Windgap",,AI-driven nuclear power revival among 5 takeaways from Pittsburgh summit,More by Eric Jankiewicz,2025-09-11T19:43:59-04:00
https://www.publicsource.org/pittsburgh-trans-youth-seek-gender-care-out-of-state/,SWISSVALE,"Mon Valley, West Suburbs",Central Business District,,Pittsburgh families struggle to find gender,Ember Duke,2025-09-15T05:30:00-04:00
https://www.publicsource.org/hazelwood-rezoning-waste-garbage-transfer-station/,CARNEGIE,"Lower East End, Southeast Pittsburgh, West Suburbs","Hazelwood, New Homestead",,Hazelwood waste proposal brings call for ‘environmental justice’ and rezoning,Tory Basile,2025-09-16T05:30:00-04:00
https://www.publicsource.org/new-freeport-springhill-fracking-pollution-eqt/,DUQUESNE,Mon Valley,,,Study ties Southwestern Pa. towns’ water woes to 2022 EQT frack,Quinn Glabicki,2025-09-17T05:30:00-04:00
https://www.publicsource.org/eradicate-hate-ai-extremism-brainrot/,"Pittsburgh, Allegheny County","South Pittsburgh, North Side","Bon Air, California-Kirkbride",,The sinister side of ‘brainrot’ and other AI takeaways from Pittsburgh’s Eradicate Hate summit,Tory Basile,2025-09-16T19:24:21-04:00
https://www.publicsource.org/youth-incarceration-pennsylvania-adult-prisons/,"Pittsburgh, Allegheny County",,,,"In Pennsylvania, we can do better than caging kids",First-person essay by Jamie Silvonek,2025-09-19T05:30:00-04:00
https://www.publicsource.org/southwestern-pa-pennsylvania-snap-benefit-losses/,DUQUESNE,"Mon Valley, West Suburbs",,,‘An extra burden’: Southwestern Pa. braces for SNAP benefit losses,More by Erin Yudt,2025-09-18T05:30:00-04:00
https://www.publicsource.org/pittsburgh-council-approves-public-safety-campus-plan-spending/,CARNEGIE,"West Suburbs, Lower East End, Mon Valley, North Hills, Upper East End, Northwest Suburbs, Central Pittsburgh","Central Oakland, Lincoln-Lemington-Belmar, Shadyside, Strip District",,Pittsburgh council votes to move forward on nearly $2 million to plan public safety campus,Ember Duke,2025-09-17T17:16:49-04:00
https://www.publicsource.org/pittsburgh-university-leaders-on-academic-freedom/,CARNEGIE,"West Suburbs, Mon Valley",,,Academic freedom is under attack. How have Pittsburgh higher ed leaders responded?,More by Maddy Franklin,2025-09-30T05:30:00-04:00
https://www.publicsource.org/allegheny-county-peer-mental-health-support-services/,ROSS,"North Side, North Hills, South Hills, Lower East End","Allegheny Center, Squirrel Hill North, Central Northside",,Allegheny County inching toward more peer,More by Venuri Siriwardane,2025-09-22T05:30:00-04:00
https://www.publicsource.org/journalism-pittsburgh-democracy-fundraising/,"Pittsburgh, Allegheny County",,,,Public Source seeks champions for local news that strengthens democracy,More by Alyia Paulding,2025-09-24T05:30:00-04:00
https://www.publicsource.org/stand-for-all-pittsburgh-to-combat-hate/,"Pittsburgh, Allegheny County",Hill District,Bedford Dwellings,,New ‘Stand for All’ organization created in Pittsburgh to combat hate,Megan Trotter TribLIVE,2025-09-20T07:00:00-04:00
https://www.publicsource.org/pittsburgh-nfl-draft-prep-sexual-violence-prevention/,"Pittsburgh, Allegheny County","North Side, Central Pittsburgh","North Shore, Central Lawrenceville",,Prep for NFL draft in Pittsburgh includes sexual violence prevention,Ember Duke,2025-09-23T05:30:00-04:00
https://www.publicsource.org/summer-lee-innamorato-fight-back-trump-budget-allegheny-county-pittsburgh/,SWISSVALE,"Mon Valley, South Pittsburgh",Duquesne Heights,,"Lee, Innamorato aim to ‘fight back’ on Trump budget plan as Congress debates",More by Charlie Wolfson,2025-09-22T13:33:25-04:00
https://www.publicsource.org/homelessness-survivor-finds-grace-among-discarded/,CARNEGIE,West Suburbs,,,How the sound of children delighting in something the world had thrown away changed me,First-person essay by Samantha Sunshine Rave,2025-09-26T05:30:00-04:00
https://www.publicsource.org/pittsburgh-mayor-race-oconnor-moreno-fundraising/,"Pittsburgh, Allegheny County",South Pittsburgh,Brookline,,O’Connor campaign has 60 times more cash than GOP rival six weeks before mayoral vote,More by Charlie Wolfson,2025-09-23T17:59:57-04:00
https://www.publicsource.org/pittsburgh-planning-commission-delays-hazelwood-riverfront-zoning-changes/,"Pittsburgh, Allegheny County","Lower East End, South Pittsburgh","Hazelwood, Shadyside, Mount Washington",,Hazelwood rezoning plan sidetracked by railroad concerns,More by Eric Jankiewicz,2025-09-23T18:33:47-04:00
https://www.publicsource.org/pittsburgh-tech-job-market-grows-hiring-slows/,CARNEGIE,"Lower East End, Upper East End, North Side, South Pittsburgh, West Suburbs","Shadyside, Larimer, California-Kirkbride, Bon Air",,Job postings are up in Pittsburgh — so why are tech workers still struggling to get hired?,Alice Crow,2025-09-25T05:30:00-04:00
https://www.publicsource.org/upmc-trans-youth-privacy-dispute/,"Pittsburgh, Allegheny County",,,,Parents to UPMC: Tell us whether you’re giving our trans kids’ records to the feds,Tory Basile,2025-09-24T15:42:34-04:00
https://www.publicsource.org/ai-schools-southwestern-pennsylvania/,NEVILLE,"South Pittsburgh, North Side, Ohio River Valley, South Hills, North Hills","Bon Air, Central Northside",,Teachers learning to use — not fear — AI,More by Lajja Mistry,2025-10-02T05:30:00-04:00
https://www.publicsource.org/pennsylvania-schools-ai-policies-guidelines/,BALDWIN,"South Pittsburgh, South Hills, West Suburbs, North Hills",Bon Air,,What is your school’s AI policy?,More by Lajja Mistry,2025-10-02T05:30:00-04:00
https://www.publicsource.org/pittsburgh-regional-transit-avoids-service-cuts-waterfront/,HOMESTEAD,Mon Valley,,,"Routes spared, but upgrades nixed in Pittsburgh Regional Transit funding fix",Brian Nuckols,2025-09-26T14:06:48-04:00
https://www.publicsource.org/carrick-high-school-stabbings-peace-makers/,BALDWIN,"South Pittsburgh, South Hills, North Hills",Carrick,,‘Peace Makers’ go full,More by Lajja Mistry,2025-09-29T05:30:00-04:00
https://www.publicsource.org/pennsylvania-vaccine-exemptions-public-health-coalition/,RESERVE,"North Hills, West Suburbs, South Hills",,,"Religious, philosophical vaccine exemptions on the rise in Southwestern Pennsylvania",More by Erin Yudt,2025-09-29T15:38:04-04:00
https://www.publicsource.org/pennsylvania-budget-allegheny-county-shapiro-cuts/,INDIANA,North Hills,,,"With no end to budget impasse in sight, Pa. school districts and counties warn of program cuts","Peter Hall, Pennsylvania Capital-Star",2025-10-01T05:30:00-04:00
https://www.publicsource.org/gainey-pittsburgh-city-budget-proposal/,"Pittsburgh, Allegheny County",South Pittsburgh,Mount Washington,,Gainey’s budget proposal would leave smaller mayor’s office for his successor,More by Charlie Wolfson,2025-10-01T10:50:46-04:00
https://www.publicsource.org/medical-career-burnout-mental-health-recovery/,MILLVALE,North Hills,,,Practicing psychiatry left me suicidal. Converting my pickup into an off,First-person essay by Vint Blackburn,2025-10-03T05:30:00-04:00
